3065,ST. ANTHONY II,NEW HAVEN,41.32938428,-72.90520447,public housing
3066,NELTON COURT,HARTFORD,41.79304932,-72.70889592,public housing
3067,SCATTERED SITES-II,NEW HAVEN,41.33029756,-72.99423419,public housing
3068,HARTFORD SCATTERED SITE I,HARTFORD,41.75196094,-72.71318617,public housing
3069,New Dutch Point Phase I,HARTFORD,41.76188026,-72.7053804,public housing
3070,New Dutch Point Phase I,HARTFORD,41.76168312,-72.70618417,public housing
3071,BOSTON COMMONS,BRIDGEPORT,41.18960712,-73.22952808,public housing
3072,HARTFORD SCATTERED SITE I,HARTFORD,41.79423638,-72.71297973,public housing
3073,HARTFORD SCATTERED SITE I,HARTFORD,41.79208806,-72.70789828,public housing
3074,WESTVILLE MANOR,NEW HAVEN,41.34891907,-72.99547782,public housing
3075,New Communities/Mary Shephard Place,HARTFORD,41.79887579,-72.70515321,public housing
3076,New Communities/Mary Shephard Place,HARTFORD,41.79823654,-72.70536712,public housing
3077,New Communities/Mary Shephard Place,HARTFORD,41.79846359,-72.7056851,public housing
3078,20 WEST AVENUE,NORWALK,41.10146982,-73.45613383,public housing
3079,RIBICOFF COTTAGES EXT.,NEW HAVEN,41.35263,-72.98877593,public housing
3080,RIBICOFF COTTAGES EXT.,NEW HAVEN,41.35263,-72.98877593,public housing
3081,BOSTON COMMONS,BRIDGEPORT,41.18066668,-73.20059324,public housing
3082,MARINA VILLAGE,BRIDGEPORT,41.17100539,-73.23169862,public housing
3083,MCCONAUGHY TERRACE,NEW HAVEN,41.34171852,-73.00620508,public housing
3084,Quinnipiac Terrace Phase II,NEW HAVEN,41.32473101,-72.92319509,public housing
3085,Quinnipiac Terrace Phase II,NEW HAVEN,41.3239107,-72.92342164,public housing
3086,Quinnipiac Terrace Phase III,NEW HAVEN,41.32185801,-72.92288636,public housing
3087,Quinnipiac Terrace Phase III,NEW HAVEN,41.32442188,-72.92335866,public housing
3088,KING KENNEDY HOMES,NORWALK,41.09740852,-73.45491107,public housing
3089,New Communities/Mary Shephard Place,HARTFORD,41.78542272,-72.70691398,public housing
3090,New Communities/Mary Shephard Place,HARTFORD,41.7983951,-72.71078766,public housing
3091,ST. ANTHONY II,NEW HAVEN,41.3398816,-72.89881285,public housing
3092,ST. ANTHONY II,NEW HAVEN,41.31133159,-72.90808739,public housing
3093,HARTFORD SCATTERED SITE I,HARTFORD,41.79030608,-72.73342693,public housing
3094,New Communities/Mary Shephard Place,HARTFORD,41.79921305,-72.70369876,public housing
3095,MCCONAUGHY TERRACE,NEW HAVEN,41.34164139,-73.00737166,public housing
3096,BOSTON COMMONS,BRIDGEPORT,41.18453004,-73.18973546,public housing
3097,HARTFORD SCATTERED SITE I,HARTFORD,41.78536832,-72.73304737,public housing
3098,MCCONAUGHY TERRACE,NEW HAVEN,41.3415064,-73.00671138,public housing
3099,MCCONAUGHY TERRACE,NEW HAVEN,41.34001689,-73.00651682,public housing
3100,MCCONAUGHY TERRACE,NEW HAVEN,41.34207057,-73.00702107,public housing
3101,MCCONAUGHY TERRACE,NEW HAVEN,41.34173746,-73.00694924,public housing
3102,HARTFORD SCATTERED SITE I,HARTFORD,41.76389228,-72.71330582,public housing
3103,HARTFORD SCATTERED SITE I,HARTFORD,41.78937412,-72.70736544,public housing
3104,WAVERLY TOWNHOUSES,NEW HAVEN,41.33625198,-73.00188465,public housing
3105,HARTFORD SCATTERED SITE I,HARTFORD,41.78736037,-72.71855087,public housing
3106,WESTVILLE MANOR,NEW HAVEN,41.34915809,-72.99613833,public housing
3107,WAVERLY TOWNHOUSES,NEW HAVEN,41.31327531,-72.97439637,public housing
3108,SAMUEL ROODNER COURT,NORWALK,41.08956931,-73.45993241,public housing
3109,SAMUEL ROODNER COURT,NORWALK,41.08956931,-73.45993241,public housing
3110,SAMUEL ROODNER COURT,NORWALK,41.08956931,-73.45993241,public housing
3111,SAMUEL ROODNER COURT,NORWALK,41.08956931,-73.45993241,public housing
3112,SENIOR COURT,NORWALK,41.1300234,-73.44944051,public housing
3113,New Communities/Mary Shephard Place,HARTFORD,41.79928799,-72.70462132,public housing
3114,New Communities/Mary Shephard Place,HARTFORD,41.7987858,-72.70465826,public housing
3115,New Communities/Mary Shephard Place,HARTFORD,41.79894483,-72.70506423,public housing
3116,New Communities/Mary Shephard Place,HARTFORD,41.79864874,-72.70483523,public housing
3117,WESTVILLE MANOR,NEW HAVEN,41.35037471,-72.99408492,public housing
3118,RIBICOFF COTTAGES EXT.,NEW HAVEN,41.35263,-72.98877593,public housing
3119,FARNUM COURTS,NEW HAVEN,41.313623,-72.94605489,public housing
3120,SENIOR COURT,NORWALK,41.1300234,-73.44944051,public housing
3121,RIBICOFF COTTAGES EXT.,NEW HAVEN,41.35263,-72.98877593,public housing
3122,RIBICOFF COTTAGES EXT.,NEW HAVEN,41.35263,-72.98877593,public housing
3123,New Communities/Mary Shephard Place,HARTFORD,41.74246504,-72.73997555,public housing
3124,New Communities/Mary Shephard Place,HARTFORD,41.74302927,-72.73972742,public housing
3125,New Communities/Mary Shephard Place,HARTFORD,41.74352446,-72.73958631,public housing
3126,RIBICOFF COTTAGES EXT.,NEW HAVEN,41.35263,-72.98877593,public housing
3127,RIBICOFF COTTAGES EXT.,NEW HAVEN,41.35263,-72.98877593,public housing
3128,RIBICOFF COTTAGES EXT.,NEW HAVEN,41.35263,-72.98877593,public housing
3129,MEADOW GARDENS,NORWALK,41.11982218,-73.44595283,public housing
3130,TRUMBULL GARDENS TOWNHOUSES,BRIDGEPORT,41.22599903,-73.22826193,public housing
3131,TRUMBULL GARDENS TOWNHOUSES,BRIDGEPORT,41.22599903,-73.22826193,public housing
3132,BOSTON COMMONS,BRIDGEPORT,41.18922366,-73.21161043,public housing
3133,BOSTON COMMONS,BRIDGEPORT,41.20960078,-73.21198259,public housing
3134,TRUMBULL GARDENS TOWNHOUSES,BRIDGEPORT,41.2256518,-73.22936883,public housing
3135,TRUMBULL GARDENS TOWNHOUSES,BRIDGEPORT,41.22530057,-73.23047372,public housing
3136,BOSTON COMMONS,BRIDGEPORT,41.18230368,-73.24951001,public housing
3137,BOSTON COMMONS,BRIDGEPORT,41.20261588,-73.1953424,public housing
3138,BOSTON COMMONS,BRIDGEPORT,41.20259788,-73.19527425,public housing
3139,MARINA VILLAGE,BRIDGEPORT,41.17683903,-73.22533486,public housing
3140,BOSTON COMMONS,BRIDGEPORT,41.18361356,-73.23435218,public housing
3141,MARINA VILLAGE,BRIDGEPORT,41.1718848,-73.23052078,public housing
3142,MARINA VILLAGE,BRIDGEPORT,41.17422062,-73.23051188,public housing
3143,MARINA VILLAGE,BRIDGEPORT,41.1744366,-73.23159397,public housing
3144,CHARLES F. GREENE HOMES,BRIDGEPORT,41.18845774,-73.2292882,public housing
3145,TRUMBULL GARDENS TOWNHOUSES,BRIDGEPORT,41.22530057,-73.23047372,public housing
3146,P.T. BARNUM APTS.,BRIDGEPORT,41.16606092,-73.25017344,public housing
3147,P.T. BARNUM APTS.,BRIDGEPORT,41.16778667,-73.24861789,public housing
3148,P.T. BARNUM APTS.,BRIDGEPORT,41.16701657,-73.24689262,public housing
3149,P.T. BARNUM APTS.,BRIDGEPORT,41.16701056,-73.2469527,public housing
3150,CHARLES F. GREENE HOMES,BRIDGEPORT,41.18928191,-73.23057694,public housing
3151,CHARLES F. GREENE HOMES,BRIDGEPORT,41.18852871,-73.22988726,public housing
